layer,alpha,val_mae
0,1000.0,13.403446833292643
1,1000.0,12.565240859985352
2,100.0,13.281210581461588
3,1000.0,13.887205123901367
4,1000.0,12.55232048034668
5,100.0,13.209473292032877
6,0.1,12.754202524820963
7,1000.0,17.058284759521484
8,0.1,15.874280293782553
9,100.0,9.85470708211263
10,0.1,9.908838907877604
11,0.1,9.13235600789388
12,0.1,7.867430369059245
13,0.1,9.096436818440756
14,0.1,11.407115936279297
15,0.1,11.794034322102865
16,0.1,12.079733530680338
17,0.1,11.119951248168945
18,0.1,11.481917063395182
19,10.0,12.438223520914713
20,1000.0,13.802876790364584
21,1000.0,13.63949457804362
22,100.0,13.782913208007812
23,1000.0,13.978023529052734
24,1000.0,13.89435068766276
25,1000.0,14.57559331258138
26,100.0,15.590404510498047
27,1000.0,16.86963653564453
