layer,alpha,val_mae
0,1000.0,6.804847081502278
1,1000.0,7.930521011352539
2,0.1,5.132787704467773
3,0.1,4.945144017537435
4,0.1,4.603145599365234
5,1000.0,6.364304542541504
6,0.1,4.346660614013672
7,100.0,3.076801300048828
8,100.0,4.154858907063802
9,0.1,3.2851425806681314
10,0.1,3.070679028828939
11,0.1,3.2442874908447266
12,0.1,2.779443105061849
13,10.0,3.2854391733805337
14,0.1,2.413204828898112
15,0.1,2.434009552001953
16,10.0,3.1090946197509766
17,0.1,2.383824666341146
18,0.1,2.248363494873047
19,0.1,2.6329596837361655
20,0.1,2.9162095387776694
21,0.1,2.92423407236735
22,0.1,3.044147173563639
23,0.1,3.1303278605143228
24,100.0,4.242631276448567
25,100.0,4.267036437988281
26,100.0,4.1130015055338545
27,100.0,3.9085461298624673
