layer,fixed_alpha,loto_mae,delta_vs_auditor,is_locked_primary_layer
0,0.1,25.804341888427736,-15.404341888427735,False
1,0.1,24.831981531778972,-14.431981531778971,False
2,0.1,21.488196563720702,-11.088196563720702,False
3,0.1,23.90952288309733,-13.50952288309733,False
4,0.1,25.642315928141276,-15.242315928141275,False
5,0.1,27.11175422668457,-16.71175422668457,False
6,0.1,19.24457295735677,-8.84457295735677,False
7,0.1,19.80793062845866,-9.40793062845866,False
8,0.1,19.56451479593913,-9.164514795939128,False
9,0.1,18.251676559448242,-7.851676559448242,False
10,0.1,19.256507237752277,-8.856507237752277,False
11,0.1,22.902669270833332,-12.502669270833332,False
12,0.1,24.89508310953776,-14.495083109537761,True
13,0.1,23.419989395141602,-13.019989395141602,False
14,0.1,22.447319157918294,-12.047319157918293,False
15,0.1,23.23767484029134,-12.83767484029134,False
16,0.1,24.613327026367188,-14.213327026367187,False
17,0.1,21.776073582967122,-11.376073582967122,False
18,0.1,14.966946029663086,-4.566946029663086,False
19,0.1,16.187419637044272,-5.787419637044271,False
20,0.1,18.370381418863932,-7.970381418863932,False
21,0.1,17.877418009440103,-7.477418009440102,False
22,0.1,18.023402786254884,-7.623402786254884,False
23,0.1,19.435994466145832,-9.035994466145832,False
24,0.1,20.227269236246745,-9.827269236246744,False
25,0.1,22.421122233072918,-12.021122233072917,False
26,0.1,20.808222579956055,-10.408222579956055,False
27,0.1,21.085163116455078,-10.685163116455078,False
