layer,alpha,val_mae
0,1000.0,2.485174775123596
1,1000.0,2.4244664907455444
2,1000.0,2.4625067174434663
3,1000.0,2.4879827320575716
4,1000.0,2.348564237356186
5,1000.0,1.9212094247341156
6,100.0,1.760619866847992
7,1000.0,1.9051994204521179
8,0.01,1.3566221594810486
9,100.0,1.0378072381019592
10,100.0,0.8892792940139771
11,100.0,0.9642490208148956
12,10.0,0.8530212998390198
13,0.01,0.770540851354599
14,0.01,0.7273486375808715
15,0.01,0.6708748638629913
16,100.0,0.6079375982284546
17,100.0,0.5691700160503388
18,100.0,0.5908869802951813
19,100.0,0.8971819102764129
20,1000.0,0.9050628364086151
21,1000.0,1.1973277449607849
22,0.01,0.9875014245510101
23,1000.0,1.0816387951374054
24,100.0,1.066855537891388
25,1000.0,1.0687504172325135
26,100.0,1.1990752875804902
27,100.0,1.1141428649425507
