state_id,family_id,original_claim,repeat_claim,match,raw
td_scale1_actions4_bonus2p0,scale1_actions4,3,3,True,<CLAIM>3</CLAIM>
td_scale1_actions5_bonus2p0,scale1_actions5,4,4,True,<CLAIM>4</CLAIM>
td_scale1_actions6_bonus2p0,scale1_actions6,5,5,True,<CLAIM>5</CLAIM>
td_scale1_actions7_bonus2p0,scale1_actions7,5,5,True,<CLAIM>5</CLAIM>
td_scale2_actions4_bonus2p0,scale2_actions4,6,6,True,<CLAIM>6</CLAIM>
td_scale2_actions5_bonus2p0,scale2_actions5,8,8,True,<CLAIM>8</CLAIM>
td_scale2_actions6_bonus2p0,scale2_actions6,10,10,True,<CLAIM>10</CLAIM>
td_scale2_actions7_bonus2p0,scale2_actions7,10,10,True,<CLAIM>10</CLAIM>
td_scale3_actions4_bonus2p0,scale3_actions4,9,9,True,<CLAIM>9</CLAIM>
td_scale3_actions5_bonus2p0,scale3_actions5,12,12,True,<CLAIM>12</CLAIM>
td_scale3_actions6_bonus2p0,scale3_actions6,15,15,True,<CLAIM>15</CLAIM>
td_scale3_actions7_bonus2p0,scale3_actions7,24,24,True,<CLAIM>24</CLAIM>
td_scale5_actions4_bonus2p0,scale5_actions4,20,20,True,<CLAIM>20</CLAIM>
td_scale5_actions5_bonus2p0,scale5_actions5,20,20,True,<CLAIM>20</CLAIM>
td_scale5_actions6_bonus2p0,scale5_actions6,30,30,True,<CLAIM>30</CLAIM>
td_scale5_actions7_bonus2p0,scale5_actions7,30,30,True,<CLAIM>30</CLAIM>
td_scale10_actions4_bonus2p0,scale10_actions4,40,40,True,<CLAIM>40</CLAIM>
td_scale10_actions5_bonus2p0,scale10_actions5,50,50,True,<CLAIM>50</CLAIM>
td_scale10_actions6_bonus2p0,scale10_actions6,50,50,True,<CLAIM>50</CLAIM>
td_scale10_actions7_bonus2p0,scale10_actions7,70,70,True,<CLAIM>70</CLAIM>
