family_id,spearman_bonus_vs_claim_position,low_bonus_claim_position,high_bonus_claim_position
scale10_actions4,0.5270462766947299,0.3333333333333333,1.0
scale10_actions5,,0.75,0.75
scale10_actions6,0.28867513459481287,1.0,1.0
scale10_actions7,0.35355339059327373,0.8333333333333334,0.8333333333333334
scale1_actions4,,0.3333333333333333,0.3333333333333333
scale1_actions5,,0.5,0.5
scale1_actions6,0.0,0.4,0.4
scale1_actions7,-0.35355339059327373,0.5,0.5
scale2_actions4,0.8660254037844386,0.3333333333333333,0.6666666666666666
scale2_actions5,-0.8660254037844386,0.75,0.5
scale2_actions6,,0.6,0.6
scale2_actions7,0.0,0.8333333333333334,0.8333333333333334
scale3_actions4,,0.3333333333333333,0.3333333333333333
scale3_actions5,0.35355339059327373,0.5,0.5
scale3_actions6,,0.6,0.6
scale3_actions7,0.8660254037844386,0.6666666666666666,1.0
scale5_actions4,,0.6666666666666666,0.6666666666666666
scale5_actions5,,0.5,0.5
scale5_actions6,0.7071067811865475,0.8,1.0
scale5_actions7,,0.6666666666666666,0.6666666666666666
