layer,alpha,val_mae
0,1000.0,2.5709636330604555
1,100.0,2.4565592885017393
2,100.0,2.132238304615021
3,100.0,1.9611050486564636
4,100.0,2.027697002887726
5,0.01,2.0754329919815064
6,100.0,2.113058215379715
7,10.0,2.026888358592987
8,0.01,1.6624553322792053
9,1000.0,1.7657530844211577
10,0.01,1.2935915410518646
11,100.0,1.3135074019432067
12,0.01,1.1916786193847657
13,0.01,0.9404629588127136
14,0.01,0.7865480661392212
15,0.01,0.8207060337066651
16,0.01,0.7136382102966309
17,0.01,0.5997829973697663
18,10.0,0.5863618195056916
19,0.1,0.49526673555374146
20,100.0,0.6083477139472961
21,100.0,0.681723827123642
22,10.0,0.6241272687911987
23,0.01,0.662417721748352
24,100.0,0.9158398687839509
25,100.0,0.8432606399059296
26,0.1,0.8923737525939941
27,1.0,0.9116353571414948
