state_id,family_id,original_action,repeat_action,match,raw
td_scale10_actions4_bonus2p0,scale10_actions4,A3,A3,True,<ACTION>A3</ACTION>
td_scale10_actions5_bonus2p0,scale10_actions5,A3,A3,True,<ACTION>A3</ACTION>
td_scale10_actions6_bonus2p0,scale10_actions6,A5,A5,True,<ACTION>A5</ACTION>
td_scale10_actions7_bonus2p0,scale10_actions7,A6,A6,True,<ACTION>A6</ACTION>
td_scale1_actions4_bonus2p0,scale1_actions4,A3,A3,True,<ACTION>A3</ACTION>
td_scale1_actions5_bonus2p0,scale1_actions5,A3,A3,True,<ACTION>A3</ACTION>
td_scale1_actions6_bonus2p0,scale1_actions6,A3,A3,True,<ACTION>A3</ACTION>
td_scale1_actions7_bonus2p0,scale1_actions7,A5,A5,True,<ACTION>A5</ACTION>
td_scale2_actions4_bonus2p0,scale2_actions4,A3,A3,True,<ACTION>A3</ACTION>
td_scale2_actions5_bonus2p0,scale2_actions5,A3,A3,True,<ACTION>A3</ACTION>
td_scale2_actions6_bonus2p0,scale2_actions6,A3,A3,True,<ACTION>A3</ACTION>
td_scale2_actions7_bonus2p0,scale2_actions7,A5,A5,True,<ACTION>A5</ACTION>
td_scale3_actions4_bonus2p0,scale3_actions4,A2,A2,True,<ACTION>A2</ACTION>
td_scale3_actions5_bonus2p0,scale3_actions5,A3,A3,True,<ACTION>A3</ACTION>
td_scale3_actions6_bonus2p0,scale3_actions6,A3,A3,True,<ACTION>A3</ACTION>
td_scale3_actions7_bonus2p0,scale3_actions7,A6,A6,True,<ACTION>A6</ACTION>
td_scale5_actions4_bonus2p0,scale5_actions4,A2,A2,True,<ACTION>A2</ACTION>
td_scale5_actions5_bonus2p0,scale5_actions5,A3,A3,True,<ACTION>A3</ACTION>
td_scale5_actions6_bonus2p0,scale5_actions6,A3,A3,True,<ACTION>A3</ACTION>
td_scale5_actions7_bonus2p0,scale5_actions7,A6,A6,True,<ACTION>A6</ACTION>
