state_id,family_id,original_next_token_id,repeat_next_token_id,original_action,repeat_action,token_match,action_match
du_scale3_actions6_betap0p0,scale3_actions6,15,15,A0,A0,True,True
du_scale5_actions4_betap0p0,scale5_actions4,15,15,A0,A0,True,True
du_scale3_actions5_betap0p0,scale3_actions5,15,15,A0,A0,True,True
du_scale1_actions7_betap0p0,scale1_actions7,16,16,A1,A1,True,True
du_scale2_actions5_betap0p0,scale2_actions5,16,16,A1,A1,True,True
du_scale2_actions4_betap0p0,scale2_actions4,15,15,A0,A0,True,True
du_scale3_actions4_betap0p0,scale3_actions4,15,15,A0,A0,True,True
du_scale3_actions7_betap0p0,scale3_actions7,15,15,A0,A0,True,True
du_scale2_actions6_betap0p0,scale2_actions6,15,15,A0,A0,True,True
du_scale2_actions7_betap0p0,scale2_actions7,16,16,A1,A1,True,True
du_scale10_actions4_betap0p0,scale10_actions4,15,15,A0,A0,True,True
du_scale5_actions7_betap0p0,scale5_actions7,16,16,A1,A1,True,True
du_scale1_actions4_betap0p0,scale1_actions4,15,15,A0,A0,True,True
du_scale5_actions5_betap0p0,scale5_actions5,16,16,A1,A1,True,True
du_scale10_actions6_betap0p0,scale10_actions6,15,15,A0,A0,True,True
du_scale1_actions5_betap0p0,scale1_actions5,16,16,A1,A1,True,True
du_scale10_actions7_betap0p0,scale10_actions7,16,16,A1,A1,True,True
du_scale10_actions5_betap0p0,scale10_actions5,16,16,A1,A1,True,True
du_scale5_actions6_betap0p0,scale5_actions6,15,15,A0,A0,True,True
du_scale1_actions6_betap0p0,scale1_actions6,16,16,A1,A1,True,True
