state_id,trajectory_id,candidate_count,legal_count,legal_rate,retry_count,uncensored,adjacent_monotonicity_violations,has_violation
ld_000_trajectory_000_department_of_tourism,trajectory_000,18,18,1.0,18,True,0,False
ld_001_trajectory_000_environmental_league,trajectory_000,9,9,1.0,9,True,1,True
ld_002_trajectory_000_local_labour_union,trajectory_000,18,18,1.0,18,True,0,False
ld_003_trajectory_000_mayor,trajectory_000,17,17,1.0,16,True,0,False
ld_004_trajectory_000_other_cities,trajectory_000,19,19,1.0,19,True,0,False
ld_005_trajectory_000_sportco,trajectory_000,17,17,1.0,17,True,0,False
ld_006_trajectory_001_department_of_tourism,trajectory_001,18,18,1.0,18,True,0,False
ld_007_trajectory_001_environmental_league,trajectory_001,9,9,1.0,9,True,0,False
ld_008_trajectory_001_local_labour_union,trajectory_001,18,18,1.0,18,True,0,False
ld_009_trajectory_001_mayor,trajectory_001,17,17,1.0,17,True,0,False
ld_010_trajectory_001_other_cities,trajectory_001,19,19,1.0,19,True,0,False
ld_011_trajectory_001_sportco,trajectory_001,17,17,1.0,17,True,0,False
ld_012_trajectory_002_department_of_tourism,trajectory_002,18,18,1.0,18,True,0,False
ld_013_trajectory_002_environmental_league,trajectory_002,9,9,1.0,9,True,0,False
ld_014_trajectory_002_local_labour_union,trajectory_002,18,18,1.0,18,True,0,False
ld_015_trajectory_002_mayor,trajectory_002,17,17,1.0,17,True,0,False
ld_016_trajectory_002_other_cities,trajectory_002,19,19,1.0,19,True,1,True
ld_017_trajectory_002_sportco,trajectory_002,17,17,1.0,17,True,0,False
ld_018_trajectory_003_department_of_tourism,trajectory_003,18,18,1.0,2,True,1,True
ld_019_trajectory_003_environmental_league,trajectory_003,9,9,1.0,3,True,0,False
ld_020_trajectory_003_local_labour_union,trajectory_003,18,18,1.0,1,True,1,True
ld_021_trajectory_003_mayor,trajectory_003,17,17,1.0,1,True,0,False
ld_022_trajectory_003_other_cities,trajectory_003,19,19,1.0,8,True,1,True
ld_023_trajectory_003_sportco,trajectory_003,17,17,1.0,17,True,0,False
ld_024_trajectory_004_department_of_tourism,trajectory_004,18,18,1.0,18,True,0,False
ld_025_trajectory_004_environmental_league,trajectory_004,9,9,1.0,9,True,0,False
ld_026_trajectory_004_local_labour_union,trajectory_004,18,18,1.0,18,True,1,True
ld_027_trajectory_004_mayor,trajectory_004,17,17,1.0,17,True,0,False
ld_028_trajectory_004_other_cities,trajectory_004,19,19,1.0,19,False,0,False
ld_029_trajectory_004_sportco,trajectory_004,17,17,1.0,17,True,0,False
