state_id,trajectory_id,legal_count,uncensored,violations,has_violation
ld_000_trajectory_000_department_of_tourism,trajectory_000,18,True,1,True
ld_001_trajectory_000_environmental_league,trajectory_000,9,True,1,True
ld_002_trajectory_000_local_labour_union,trajectory_000,18,True,0,False
ld_003_trajectory_000_mayor,trajectory_000,17,True,0,False
ld_004_trajectory_000_other_cities,trajectory_000,19,True,0,False
ld_005_trajectory_000_sportco,trajectory_000,17,True,0,False
ld_006_trajectory_001_department_of_tourism,trajectory_001,18,True,1,True
ld_007_trajectory_001_environmental_league,trajectory_001,9,True,0,False
ld_008_trajectory_001_local_labour_union,trajectory_001,18,True,0,False
ld_009_trajectory_001_mayor,trajectory_001,17,True,0,False
ld_010_trajectory_001_other_cities,trajectory_001,19,True,0,False
ld_011_trajectory_001_sportco,trajectory_001,17,True,1,True
ld_012_trajectory_002_department_of_tourism,trajectory_002,18,True,1,True
ld_013_trajectory_002_environmental_league,trajectory_002,9,True,0,False
ld_014_trajectory_002_local_labour_union,trajectory_002,18,True,1,True
ld_015_trajectory_002_mayor,trajectory_002,17,True,0,False
ld_016_trajectory_002_other_cities,trajectory_002,19,True,0,False
ld_017_trajectory_002_sportco,trajectory_002,17,True,0,False
ld_018_trajectory_003_department_of_tourism,trajectory_003,18,True,0,False
ld_019_trajectory_003_environmental_league,trajectory_003,9,True,0,False
ld_020_trajectory_003_local_labour_union,trajectory_003,18,True,0,False
ld_021_trajectory_003_mayor,trajectory_003,17,True,0,False
ld_022_trajectory_003_other_cities,trajectory_003,19,True,1,True
ld_023_trajectory_003_sportco,trajectory_003,17,True,0,False
ld_024_trajectory_004_department_of_tourism,trajectory_004,18,True,0,False
ld_025_trajectory_004_environmental_league,trajectory_004,9,True,1,True
ld_026_trajectory_004_local_labour_union,trajectory_004,18,True,1,True
ld_027_trajectory_004_mayor,trajectory_004,17,True,0,False
ld_028_trajectory_004_other_cities,trajectory_004,19,True,0,False
ld_029_trajectory_004_sportco,trajectory_004,17,True,0,False
