state_id,trajectory_id,candidate_count,uncensored,adjacent_binary_violations,has_binary_violation,adjacent_probability_decreases,global_binary_rate
ld_000_trajectory_000_department_of_tourism,trajectory_000,18,True,0,False,5,1.0
ld_001_trajectory_000_environmental_league,trajectory_000,9,True,1,True,2,1.0
ld_002_trajectory_000_local_labour_union,trajectory_000,18,True,1,True,7,1.0
ld_003_trajectory_000_mayor,trajectory_000,17,True,0,False,6,1.0
ld_004_trajectory_000_other_cities,trajectory_000,19,True,0,False,11,1.0
ld_005_trajectory_000_sportco,trajectory_000,17,True,0,False,6,1.0
ld_006_trajectory_001_department_of_tourism,trajectory_001,18,True,0,False,2,1.0
ld_007_trajectory_001_environmental_league,trajectory_001,9,True,0,False,3,1.0
ld_008_trajectory_001_local_labour_union,trajectory_001,18,True,0,False,2,1.0
ld_009_trajectory_001_mayor,trajectory_001,17,True,2,True,6,1.0
ld_010_trajectory_001_other_cities,trajectory_001,19,True,0,False,9,1.0
ld_011_trajectory_001_sportco,trajectory_001,17,True,0,False,3,1.0
ld_012_trajectory_002_department_of_tourism,trajectory_002,18,True,0,False,4,1.0
ld_013_trajectory_002_environmental_league,trajectory_002,9,True,0,False,3,1.0
ld_014_trajectory_002_local_labour_union,trajectory_002,18,True,1,True,7,1.0
ld_015_trajectory_002_mayor,trajectory_002,17,True,0,False,7,1.0
ld_016_trajectory_002_other_cities,trajectory_002,19,True,0,False,11,1.0
ld_017_trajectory_002_sportco,trajectory_002,17,True,0,False,5,1.0
ld_018_trajectory_003_department_of_tourism,trajectory_003,18,True,0,False,4,1.0
ld_019_trajectory_003_environmental_league,trajectory_003,9,True,0,False,2,1.0
ld_020_trajectory_003_local_labour_union,trajectory_003,18,True,1,True,3,1.0
ld_021_trajectory_003_mayor,trajectory_003,17,True,0,False,4,1.0
ld_022_trajectory_003_other_cities,trajectory_003,19,True,0,False,9,1.0
ld_023_trajectory_003_sportco,trajectory_003,17,True,0,False,5,1.0
ld_024_trajectory_004_department_of_tourism,trajectory_004,18,True,0,False,4,1.0
ld_025_trajectory_004_environmental_league,trajectory_004,9,True,1,True,4,1.0
ld_026_trajectory_004_local_labour_union,trajectory_004,18,True,0,False,7,1.0
ld_027_trajectory_004_mayor,trajectory_004,17,True,1,True,8,1.0
ld_028_trajectory_004_other_cities,trajectory_004,19,True,1,True,7,1.0
ld_029_trajectory_004_sportco,trajectory_004,17,True,0,False,5,1.0
