target_id,game_id,game_index,fold,mission,round,leader,subject_player,subject_role,mission_team_json,known_other_evil_on_team,subject_team_vote,action_valid,action_fallback_used,hidden_action,hidden_sabotage,parent_perspective_hash,exact_action_prompt_sha256
avalon_full_000_m0_r0_p2,avalon_full_000,0,0,0,0,1,2,Assassin,"[0, 2]",False,False,True,False,SABOTAGE,1,499681d84d9ec02870a9737d0a28173f863b6fd075569223632fb78d1a4b6523,4bee1ccc2e3fd32922d3f5b970bf72685c3c43b1560c542e467c16df1ba1796b
avalon_full_000_m1_r0_p3,avalon_full_000,0,0,1,0,2,3,Minion,"[0, 3, 4]",False,False,True,False,PASS,0,90868efe0dfe6e200966b86a8cf198e9e7d8a23fb00153889f7a332ce32404b2,e4597172ba59d9a7ffce2c86afbaa27f9cfb21f8708da0b6ec967f2648940f5d
avalon_full_000_m2_r0_p3,avalon_full_000,0,0,2,0,3,3,Minion,"[1, 3]",False,False,True,False,SABOTAGE,1,6fcac970d9aa96fba84e64ecf6222a921b38a498341e0bdfa3cca96707414232,96be3cec6ef9a48f28935fa108bf37e5b694e1f24d56489f1f3bc3819c1122ad
avalon_full_000_m3_r0_p3,avalon_full_000,0,0,3,0,4,3,Minion,"[1, 3, 4]",False,False,True,False,PASS,0,8c89b94e9244fd86d64ca13300a2c8b37b3eb3835b0f17d76a96a04bd246b0bc,c1c69dc74e8dafaac50d341b406394bcd855afc30206039c90397fe0f6ab6098
avalon_full_000_m4_r0_p2,avalon_full_000,0,0,4,0,0,2,Assassin,"[0, 2, 3]",True,False,True,False,PASS,0,28ed748a7209e4af2f7a2edcbb60f8be388e9fdf9c078bf8e92fd5751bd27a5f,37b0a2fa9776c9c0af5b00113e8ae24144e2f342a12a8362e0ee6a079f703527
avalon_full_000_m4_r0_p3,avalon_full_000,0,0,4,0,0,3,Minion,"[0, 2, 3]",True,False,True,False,SABOTAGE,1,120e718d478be5073d9a184518231b03ebae0fc521b1b9c50b913501e8252144,88c1ddd5de56afedfff5c02f9710960e7ea725009414104a6b33749305ef5eef
avalon_full_001_m0_r0_p3,avalon_full_001,1,1,0,0,2,3,Assassin,"[3, 4]",False,False,True,False,SABOTAGE,1,152f2d93f1c9dcc47ca702f70b4c09ec2aa9ee560ef58782a25ddf2e24deae13,5a05ff348589d0c9d89b84046588ac932e3ec9ef88b829544bc66bbbc3a923e4
avalon_full_001_m3_r0_p3,avalon_full_001,1,1,3,0,0,3,Assassin,"[0, 2, 3]",False,False,True,False,SABOTAGE,1,c4c74768d0faea6eea9413eaa43e602f2a5cea104a566954458533b9d31336c2,6a989f297bf7dc1c582b1cbc1d0f52789b6eaa45b40ab5119a529417f72db4db
avalon_full_001_m4_r0_p1,avalon_full_001,1,1,4,0,1,1,Minion,"[1, 3, 4]",True,False,True,False,SABOTAGE,1,4023387cab47dea6bd76af3aa092feee297f89449cdf8ed8975110550823a9a3,9f3084cfc045e005169525c6fd36be6ade243c4e2caefba00bc5361b3c0f5603
avalon_full_001_m4_r0_p3,avalon_full_001,1,1,4,0,1,3,Assassin,"[1, 3, 4]",True,False,True,False,PASS,0,188d5683dfe3a8cb94fba6136b8416288c50cec45571ed1c40dcf3f8d766cc68,b06e9f136dd1f19e187ea819d5c05080348b641da092c079e82bb65c61176cc0
avalon_full_002_m0_r0_p3,avalon_full_002,2,2,0,0,3,3,Minion,"[1, 3]",False,False,True,False,SABOTAGE,1,9ab85daa690a823ecfc31116254b249187bcc5627f4d5f953f1675cde167dcfa,2565469edc4a4f7b1e6875a352c6882a00cd3cb378e61737bd1b24426abb98f7
avalon_full_002_m1_r0_p3,avalon_full_002,2,2,1,0,3,3,Minion,"[1, 3, 4]",False,False,True,False,PASS,0,d8740af8c9a7a9ddb433375f50ae4dc78a53a413648c32b494cc84ac780e6c82,1a222a100f8c46198152c2697a7fe1a0782e63a993d44ae00512e8ea86dbc3b8
avalon_full_002_m2_r0_p3,avalon_full_002,2,2,2,0,3,3,Minion,"[3, 4]",False,False,True,False,PASS,0,dab526f33853cf73642b6ed4c95b420142216ccefd6e6bd4d8fa6ffeb94deff6,f223e7a47c1b9b4048f99f57e04896f055b40051bb5a3ebbeae8e77eb9464db7
