candidate_id,game_index,source_path,local_id,phase_index,phase_name,power,outgoing_messages,incoming_messages,counterparts,counterpart_count,historical_order_count,historical_orders_json,state_present,state_keys_json
cicero_g000_p000_ENGLAND,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,0,S1901M,ENGLAND,6,9,"AUSTRIA,GERMANY",2,3,"[""F EDI - NWG"", ""F LON - NTH"", ""A LVP - EDI""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p000_GERMANY,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,0,S1901M,GERMANY,9,5,ENGLAND,1,3,"[""F KIE - DEN"", ""A MUN - RUH"", ""A BER - KIE""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p001_ENGLAND,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,1,F1901M,ENGLAND,5,8,"AUSTRIA,GERMANY",2,3,"[""A EDI - NWY VIA"", ""F NTH - SKA"", ""F NWG C A EDI - NWY""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p001_GERMANY,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,1,F1901M,GERMANY,8,4,ENGLAND,1,3,"[""F DEN H"", ""A RUH - MUN"", ""A KIE - HOL""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p003_ENGLAND,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,3,S1902M,ENGLAND,8,14,"AUSTRIA,GERMANY",2,4,"[""F EDI - NTH"", ""F NWG - BAR"", ""A NWY S F SKA - SWE"", ""F SKA - SWE""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p003_GERMANY,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,3,S1902M,GERMANY,14,7,ENGLAND,1,5,"[""F DEN S F SWE"", ""A HOL - BEL"", ""A RUH S A HOL - BEL"", ""F KIE - HEL"", ""A MUN - BUR""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p004_ENGLAND,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,4,F1902M,ENGLAND,7,13,"AUSTRIA,GERMANY",2,4,"[""F NTH - DEN"", ""F NWG - NWY"", ""A NWY - SWE"", ""F SKA S A NWY - SWE""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p004_GERMANY,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,4,F1902M,GERMANY,13,6,ENGLAND,1,5,"[""A BEL S A RUH"", ""F DEN S F SKA - SWE"", ""F HEL - HOL"", ""A RUH S A BEL"", ""A MUN - BUR""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p007_ENGLAND,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,7,S1903M,ENGLAND,1,5,GERMANY,1,5,"[""F LON - ENG"", ""F NTH - HEL"", ""F NWG - NTH"", ""F SKA - DEN"", ""A SWE S F SKA - DEN""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p007_GERMANY,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,7,S1903M,GERMANY,5,1,ENGLAND,1,6,"[""A BEL S A MUN - BUR"", ""F DEN S F HOL - NTH"", ""F HOL - NTH"", ""A RUH S A MUN - BUR"", ""A MUN - BUR"", ""A BER - PRU""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p012_ENGLAND,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,12,S1904M,ENGLAND,3,8,GERMANY,1,7,"[""F LON - NTH"", ""F LVP - IRI"", ""F NTH - HOL"", ""F ENG S F LVP - IRI"", ""F DEN S F KIE"", ""F KIE S F NTH - HOL"", ""A SWE - FIN""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
cicero_g000_p012_GERMANY,0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,12,S1904M,GERMANY,8,3,ENGLAND,1,2,"[""A RUH - BUR"", ""A MUN S A RUH - BUR""]",True,"[""builds"", ""centers"", ""homes"", ""name"", ""retreats"", ""units""]"
