candidate_id,game_index,phase_name,power,route,observed_phase,phase_match,state_match,multi_choice_locations
cicero_g000_p000_ENGLAND,0,S1901M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p000_ENGLAND,0,S1901M,ENGLAND,rolled_back_to_phase_start,S1901M,True,True,3
cicero_g000_p000_GERMANY,0,S1901M,GERMANY,full,S1909M,False,False,0
cicero_g000_p000_GERMANY,0,S1901M,GERMANY,rolled_back_to_phase_start,S1901M,True,True,3
cicero_g000_p001_ENGLAND,0,F1901M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p001_ENGLAND,0,F1901M,ENGLAND,rolled_back_to_phase_start,F1901M,True,True,3
cicero_g000_p001_GERMANY,0,F1901M,GERMANY,full,S1909M,False,False,0
cicero_g000_p001_GERMANY,0,F1901M,GERMANY,rolled_back_to_phase_start,F1901M,True,True,3
cicero_g000_p003_ENGLAND,0,S1902M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p003_ENGLAND,0,S1902M,ENGLAND,rolled_back_to_phase_start,S1902M,True,True,4
cicero_g000_p003_GERMANY,0,S1902M,GERMANY,full,S1909M,False,False,0
cicero_g000_p003_GERMANY,0,S1902M,GERMANY,rolled_back_to_phase_start,S1902M,True,True,5
cicero_g000_p004_ENGLAND,0,F1902M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p004_ENGLAND,0,F1902M,ENGLAND,rolled_back_to_phase_start,F1902M,True,True,4
cicero_g000_p004_GERMANY,0,F1902M,GERMANY,full,S1909M,False,False,0
cicero_g000_p004_GERMANY,0,F1902M,GERMANY,rolled_back_to_phase_start,F1902M,True,True,5
cicero_g000_p007_ENGLAND,0,S1903M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p007_ENGLAND,0,S1903M,ENGLAND,rolled_back_to_phase_start,S1903M,True,True,5
cicero_g000_p007_GERMANY,0,S1903M,GERMANY,full,S1909M,False,False,0
cicero_g000_p007_GERMANY,0,S1903M,GERMANY,rolled_back_to_phase_start,S1903M,True,True,6
cicero_g000_p012_ENGLAND,0,S1904M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p012_ENGLAND,0,S1904M,ENGLAND,rolled_back_to_phase_start,S1904M,True,True,7
cicero_g000_p012_GERMANY,0,S1904M,GERMANY,full,S1909M,False,False,0
cicero_g000_p012_GERMANY,0,S1904M,GERMANY,rolled_back_to_phase_start,S1904M,True,True,2
cicero_g000_p014_ENGLAND,0,F1904M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p014_ENGLAND,0,F1904M,ENGLAND,rolled_back_to_phase_start,F1904M,True,True,7
cicero_g000_p017_AUSTRIA,0,S1905M,AUSTRIA,full,S1909M,False,False,0
cicero_g000_p017_AUSTRIA,0,S1905M,AUSTRIA,rolled_back_to_phase_start,S1905M,True,False,0
cicero_g000_p017_AUSTRIA,0,S1905M,AUSTRIA,rolled_back_to_phase_end,S1905M,True,False,0
cicero_g000_p017_AUSTRIA,0,S1905M,AUSTRIA,prefix,S1905M,True,False,0
cicero_g000_p017_AUSTRIA,0,S1905M,AUSTRIA,prefix_orders_cleared,S1905M,True,False,0
cicero_g000_p017_ENGLAND,0,S1905M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p017_ENGLAND,0,S1905M,ENGLAND,rolled_back_to_phase_start,S1905M,True,False,0
cicero_g000_p017_ENGLAND,0,S1905M,ENGLAND,rolled_back_to_phase_end,S1905M,True,False,0
cicero_g000_p017_ENGLAND,0,S1905M,ENGLAND,prefix,S1905M,True,False,0
cicero_g000_p017_ENGLAND,0,S1905M,ENGLAND,prefix_orders_cleared,S1905M,True,False,0
cicero_g000_p025_ENGLAND,0,S1907M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p025_ENGLAND,0,S1907M,ENGLAND,rolled_back_to_phase_start,S1907M,True,False,0
cicero_g000_p025_ENGLAND,0,S1907M,ENGLAND,rolled_back_to_phase_end,S1907M,True,False,0
cicero_g000_p025_ENGLAND,0,S1907M,ENGLAND,prefix,S1907M,True,False,0
cicero_g000_p025_ENGLAND,0,S1907M,ENGLAND,prefix_orders_cleared,S1907M,True,False,0
cicero_g000_p032_AUSTRIA,0,F1908M,AUSTRIA,full,S1909M,False,False,0
cicero_g000_p032_AUSTRIA,0,F1908M,AUSTRIA,rolled_back_to_phase_start,F1908M,True,False,0
cicero_g000_p032_AUSTRIA,0,F1908M,AUSTRIA,rolled_back_to_phase_end,F1908M,True,False,0
cicero_g000_p032_AUSTRIA,0,F1908M,AUSTRIA,prefix,F1908M,True,False,0
cicero_g000_p032_AUSTRIA,0,F1908M,AUSTRIA,prefix_orders_cleared,F1908M,True,False,0
cicero_g000_p032_ENGLAND,0,F1908M,ENGLAND,full,S1909M,False,False,0
cicero_g000_p032_ENGLAND,0,F1908M,ENGLAND,rolled_back_to_phase_start,F1908M,True,False,0
cicero_g000_p032_ENGLAND,0,F1908M,ENGLAND,rolled_back_to_phase_end,F1908M,True,False,0
cicero_g000_p032_ENGLAND,0,F1908M,ENGLAND,prefix,F1908M,True,False,0
cicero_g000_p032_ENGLAND,0,F1908M,ENGLAND,prefix_orders_cleared,F1908M,True,False,0
cicero_g001_p000_AUSTRIA,1,S1901M,AUSTRIA,full,F1908M,False,False,0
cicero_g001_p000_AUSTRIA,1,S1901M,AUSTRIA,rolled_back_to_phase_start,S1901M,True,True,3
cicero_g001_p000_ENGLAND,1,S1901M,ENGLAND,full,F1908M,False,False,0
cicero_g001_p000_ENGLAND,1,S1901M,ENGLAND,rolled_back_to_phase_start,S1901M,True,True,3
cicero_g001_p000_FRANCE,1,S1901M,FRANCE,full,F1908M,False,False,0
cicero_g001_p000_FRANCE,1,S1901M,FRANCE,rolled_back_to_phase_start,S1901M,True,True,3
