candidate_id,game_index,accepted,reason,pair_score
cicero_g000_p003_ENGLAND,0,False,no_strict_divergent_pair,
cicero_g000_p003_GERMANY,0,False,no_strict_divergent_pair,
cicero_g000_p004_ENGLAND,0,False,no_strict_divergent_pair,
cicero_g000_p004_GERMANY,0,False,no_strict_divergent_pair,
cicero_g000_p014_ENGLAND,0,True,accepted,260.0
cicero_g001_p000_ITALY,1,False,no_strict_divergent_pair,
cicero_g001_p003_ITALY,1,True,accepted,180.0
cicero_g002_p003_RUSSIA,2,True,accepted,180.0
cicero_g003_p001_ENGLAND,3,True,accepted,120.0
cicero_g004_p010_GERMANY,4,True,accepted,180.0
cicero_g005_p001_AUSTRIA,5,True,accepted,300.0
cicero_g006_p009_TURKEY,6,True,accepted,420.0
cicero_g007_p001_FRANCE,7,True,accepted,240.0
cicero_g008_p005_ITALY,8,True,accepted,180.0
cicero_g009_p005_ENGLAND,9,False,no_strict_divergent_pair,
cicero_g009_p005_RUSSIA,9,False,no_strict_divergent_pair,
cicero_g009_p001_ENGLAND,9,True,accepted,140.0
cicero_g010_p031_FRANCE,10,True,accepted,180.0
cicero_g011_p001_RUSSIA,11,True,accepted,200.0
cicero_g012_p005_RUSSIA,12,True,accepted,380.0
cicero_g013_p005_RUSSIA,13,False,no_strict_divergent_pair,
cicero_g013_p000_RUSSIA,13,True,accepted,140.0
cicero_g014_p000_RUSSIA,14,True,accepted,140.0
cicero_g015_p003_ENGLAND,15,False,no_strict_divergent_pair,
cicero_g015_p003_GERMANY,15,False,no_strict_divergent_pair,
cicero_g015_p001_ENGLAND,15,True,accepted,180.0
cicero_g016_p004_ITALY,16,True,accepted,180.0
cicero_g017_p001_FRANCE,17,True,accepted,240.0
cicero_g018_p000_ENGLAND,18,False,no_strict_divergent_pair,
cicero_g018_p000_TURKEY,18,False,no_strict_divergent_pair,
cicero_g018_p001_ENGLAND,18,True,accepted,120.0
cicero_g019_p014_ITALY,19,False,no_strict_divergent_pair,
cicero_g019_p014_RUSSIA,19,False,no_strict_divergent_pair,
cicero_g019_p026_ITALY,19,False,reconstruction_failed,
cicero_g019_p026_RUSSIA,19,False,reconstruction_failed,
cicero_g019_p007_ITALY,19,False,no_strict_divergent_pair,
cicero_g019_p007_RUSSIA,19,True,accepted,120.0
