state_id,game_index,fold,prompt_sha256,prompt_chars
cicero_g000_p014_ENGLAND,0,0,2bc239b46d4af5d11d41cb8da9b180b4fb7d194313234bd213647c1b9a672ecb,2498
cicero_g001_p003_ITALY,1,1,fc726fa9734d5c8771b4758416856c970a06a78affa638d9afb2b4c5fd2ba993,2665
cicero_g002_p003_RUSSIA,2,2,22c7e206271225b3965715acbe4fa4a597c088449317a97e09bff48b3a8af780,2938
cicero_g003_p001_ENGLAND,3,3,cdf65662e7b90cc388cda72aee7242a01d274ef06489652a4bf9f872444cf860,1841
cicero_g004_p010_GERMANY,4,4,f248322f3d56fb3be377b789d2813a749e327e2e7eb856ba8a650affc2ef8844,3253
cicero_g005_p001_AUSTRIA,5,0,0af8b4708daec09eedb00478d8aa5ce8bb5dd6a25e700ccaabcd65b9303a3938,3096
cicero_g006_p009_TURKEY,6,1,de9b6b0533850b323d27a5a7672e20f6403f645cd53b307c9c4c27cea562ce9f,3144
cicero_g007_p001_FRANCE,7,2,1ab41c5d934fa2854f756618983f649b1a22bef6c6c7a5dd896c9822c33a4ce3,2682
cicero_g008_p005_ITALY,8,3,06811b47711e009a91515c31ae871ae15ea2f0bdbcf88bc65fd153bb50f9bf12,2819
cicero_g009_p001_ENGLAND,9,4,37b1855de1c135f97ae940affde01f8aaae38e10430590b5eb7945a6cc51f289,2004
cicero_g010_p031_FRANCE,10,0,38c213de54266dd0d86eaf8e5e2e67133f2c671036e2f2fa6c2604eb37e2df03,2741
cicero_g011_p001_RUSSIA,11,1,a53783ad061194206771884e977b448a029dd2816832004f8d229b04989bca9a,3860
cicero_g012_p005_RUSSIA,12,2,7054931179c89a2afe9f98b51f76b4cb45028acffc387367ac66faf86620e653,4782
cicero_g013_p000_RUSSIA,13,3,7743e823892369994e124911e32b70d4c211de5233a4401be491a07ee6123e48,3921
cicero_g014_p000_RUSSIA,14,4,9fbb0668d9343d5ff0a953c044f87791632cbc97f87a7719bb510997cc9657b6,3358
cicero_g015_p001_ENGLAND,15,0,4257d9d7072f8a4e1d3f872f7bf41b818a21b199fdedcf62063f0e5351aea9f9,2291
cicero_g016_p004_ITALY,16,1,21a1fb1ae063327ad52c51a614aae36fab4d63ad657c77c8e3442925238622b3,3066
cicero_g017_p001_FRANCE,17,2,ff25bc74fcdc93c4b66bf17c089c3924eab3bb3aaea4290c2e9cdfe78447c05c,3921
cicero_g018_p001_ENGLAND,18,3,8bf0f300448d07cd90dd04c71c91782073aaf497187fbac4ba726e6a2cbab284,1759
cicero_g019_p007_RUSSIA,19,4,744b0a0886928684962a88af1cb6ac562b91f2fea1286d0e6659ea2da59e056c,2450
cicero_g020_p001_ITALY,20,0,1e7085a97b1e19a6ac1523419aaab643bd587b9b5e32bca72f45c31164e79475,2193
cicero_g021_p003_FRANCE,21,1,dcfab5f66a798b43acb9c6cf8da3062ab173832d99d1a40071a668697e0bd98a,2321
cicero_g022_p008_ENGLAND,22,2,f7a9bb09844d0f6532961861f29a36505a3bb6212b24b187cebae779de9644d0,3490
cicero_g023_p009_ITALY,23,3,d09a9e3b5241eed7be52c70de81b08f49f1dabedf02425abd03e5b4865e76a86,2316
cicero_g024_p005_FRANCE,24,4,8639c8397ad1c76e32d48a2dca249f977ab612e53f5cc4c22cd7afb70d74c876,2598
cicero_g025_p001_ENGLAND,25,0,93bfe88604c178f606fd6f1727b24f3c17ea58468ae4765514306d9d397eb0dd,2058
cicero_g026_p003_GERMANY,26,1,afb484cc72b9f554927bcbac6e8283f1328fbb4a7a70d67e1f4ad21c512906d3,2555
