state_id,game_index,fold,phase_index,phase_name,power,counterpart,focal_location,option_a,option_b,conversation_volume,pair_score,parent_game_sha256,post_state_sha256_a,post_state_sha256_b
cicero_g000_p014_ENGLAND,0,0,14,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,17,260,4ac7d23e96275c6f28863d71ca6fb7c5a0d18b24d92339fae2a1943286fa8838,fa1f7daed576d9e90284fe9a9cc29342dabc8f5cb6aef4535c908d86fab77f91,144dfdecdd7e5da22dbc8465985486ef7b55752cc57067a9fbfd8cf63487b404
cicero_g001_p003_ITALY,1,1,3,S1902M,ITALY,AUSTRIA,ION,F ION S A BUL - GRE,F ION - ADR,20,180,a130837334288b625c7e6ab93fc9c0bef417da05d97af297ee6e8f7ce772779a,78c101817cdae3c52198dd893d885aab3065ace7f8aabf9aae26f5519ca9b3ce,4a0a6d940497b17ef0f2076bcc87ff093aa57a69aa01196a697cf611476f2acd
cicero_g002_p003_RUSSIA,2,2,3,S1902M,RUSSIA,ITALY,GAL,A GAL S A BUD - VIE,A GAL - BOH,21,180,6cddd468801fd4a992050996272bc8e138e1adb36a2be66f5952fc81e0b0fbb3,46a85b933635e595d1f10dcaa0cd4b6c8618ce2318ee1c699cec8303df214171,293658e74b266ddb28bcaaa6b1c03d9ea06f8fcd6c1c947ae5e320b8da6ef5f6
cicero_g003_p001_ENGLAND,3,3,1,F1901M,ENGLAND,ITALY,EDI,A EDI S F NTH - YOR,A EDI - CLY,5,120,5bca1ecd4de90d28d593d385964980d06b970954bc6baab747813a99847974af,2963ae86e7c1c434d2fb75f9433772095a05b063e15588d83096c81b390c5e2d,3b3469ddf5f184ddc5f96184cf0fc936b7c471bee9f7f90a4dae4f157ae71634
cicero_g004_p010_GERMANY,4,4,10,F1903M,GERMANY,FRANCE,NTH,F NTH - DEN,F NTH S A BEL - YOR,24,180,393f2ac196eecfa3b2f7ce3a6163db2a3e3ca6ce108858d104344e4079db06c9,d43ee1589f779c42a24e9e28afa82c6440f60f420ae1a948bac1add9e9d54ba5,d3f0ff58930beda37358ed2d1c69316708a9136aaef9ea9067f2ba219020aa37
cicero_g005_p001_AUSTRIA,5,0,1,F1901M,AUSTRIA,FRANCE,SER,A SER S A BUL - RUM,A SER - ALB,32,300,65688aeec1e32b2061e7152be43f8f6a458de115dd6ddde9c3c03ef721257515,73886a25f5c0025741efb649577c1ed0f29d785591d925375552852bf7bb7f2a,adc3be1ccaa99e00c1b61ded75c615bb9563a9bf0f5ebf714efc1adfae901a13
cicero_g006_p009_TURKEY,6,1,9,F1903M,TURKEY,ITALY,BLA,F BLA S F AEG - BUL,F BLA - ANK,25,420,9faae1d6da017d9df32d7db9c9b50bcd1da82fffebd98430dbe71351cf9f4638,1d4097aeedf553b43ceeff135354af564004853c0d51c2d9ec26bd65671ce7c1,c6d47fdbd92c17add1a5302e913bc3f2d992f92d04222025a207e788ac5ae184
cicero_g007_p001_FRANCE,7,2,1,F1901M,FRANCE,RUSSIA,BUR,A BUR - GAS,A BUR S F ENG - BEL,20,240,6488360274dd9532205c28f40ee3fa9ca70807a7aa60f27c5252e68d864329d7,75be31fe7f26732bdc61021a8cdf6a80830c0ce216bc60c1adbfe6d7f5a14c5d,de43db6d2a8aced3814c7a2c0a5acf3fa9f7ff92d82d8f02d73103b1f90b2808
cicero_g008_p005_ITALY,8,3,5,F1902M,ITALY,TURKEY,PIE,A PIE - TUS,A PIE S A TRI - VEN,17,180,dc15e50a3bb49569be31660c89eb4a0e0ba4aae9298186344081ec251c98acc9,d2f0e85d1471fc9cbd9ab2268c9fe7a6005432834f4463c4e105300434d3aa2d,41499d65521cd43531279878667bb1ee67aee93e9bd1f92a5fd94ee3b4aeafcc
cicero_g009_p001_ENGLAND,9,4,1,F1901M,ENGLAND,RUSSIA,NTH,F NTH - ENG,F NTH S A EDI - HOL,8,140,c4ba3c5854eb1c8de30e5165ec57a716ae82fb11eddbd53c4f9af7f3b636fa5b,9c260bc471db9e7ecbce07cc48b3d69ae62bc9f9212e8ac2d26dd4c9011ff1c3,b4a0656a90bdde1550d0f9a46a2a6a711e36cd5fbf73a0ca6bdab555a2ee11b4
cicero_g010_p031_FRANCE,10,0,31,S1908M,FRANCE,ITALY,ENG,F ENG - BRE,F ENG S A EDI - BEL,18,180,a2dcaaf02be03cc7f668e501e91774c1f561370f970dfa0125a697eebc3783e3,a822d7f1a685050f8ecc4d058e8b8e3d2799a17cf02061b61b6a4559696c251b,3aa6bffa0988c7878ad664511c6e3e4799bda252587dd22ad7afac1d35b707ae
cicero_g011_p001_RUSSIA,11,1,1,F1901M,RUSSIA,TURKEY,SEV,F SEV - ARM,F SEV S F ANK - BLA,31,200,7bafb7835d90100db1e87d25a7c1d5976b6dcef4742d62eb99939188dabd25ee,2a23878030d8a789ac1a2d657fd87f0406c9c369df7095b98912d40a92786bd9,3cf932fd1508f7f7acf85ad0c70496bd0b6fb5fd8dcec251e694b63649f3fff0
