candidate_id,game_index,accepted,reason,ranked_pair_count,adjudication_attempts,state_slot_within_game,pair_score,parent_game_sha256
cicero_g000_p003_ENGLAND,0,False,no_strict_divergent_pair,513.0,0.0,,,
cicero_g000_p003_GERMANY,0,False,no_strict_divergent_pair,797.0,0.0,,,
cicero_g000_p004_ENGLAND,0,False,no_strict_divergent_pair,3847.0,0.0,,,
cicero_g000_p004_GERMANY,0,False,no_strict_divergent_pair,2240.0,0.0,,,
cicero_g000_p014_ENGLAND,0,True,accepted,,,0.0,260.0,4ac7d23e96275c6f28863d71ca6fb7c5a0d18b24d92339fae2a1943286fa8838
cicero_g000_p000_ENGLAND,0,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g000_p000_GERMANY,0,False,no_strict_divergent_pair,236.0,0.0,,,
cicero_g000_p001_ENGLAND,0,True,accepted,,,1.0,180.0,41f5af9f04c59c693879cf86847f8bad0bfe7a6981ec94bfdf9c2d82352873ad
cicero_g001_p000_ITALY,1,False,no_strict_divergent_pair,219.0,0.0,,,
cicero_g001_p003_ITALY,1,True,accepted,,,0.0,180.0,a130837334288b625c7e6ab93fc9c0bef417da05d97af297ee6e8f7ce772779a
cicero_g001_p001_ITALY,1,True,accepted,,,1.0,160.0,7cf1bd91443316dd0906448ac0110b7d3b72ed7163a25056b81fc4deaeb59303
cicero_g002_p003_RUSSIA,2,True,accepted,,,0.0,180.0,6cddd468801fd4a992050996272bc8e138e1adb36a2be66f5952fc81e0b0fbb3
cicero_g002_p005_RUSSIA,2,True,accepted,,,1.0,160.0,4fe41e7b36da0567c15bbbfc9578bfce22220f7b3dcc176142cc4a5b8e80916d
cicero_g003_p001_ENGLAND,3,True,accepted,,,0.0,120.0,5bca1ecd4de90d28d593d385964980d06b970954bc6baab747813a99847974af
cicero_g003_p001_ITALY,3,False,duplicate_parent_within_game,,,,,
cicero_g003_p000_ENGLAND,3,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g003_p030_ENGLAND,3,False,no_strict_divergent_pair,3487.0,0.0,,,
cicero_g003_p030_TURKEY,3,False,no_strict_divergent_pair,1519.0,0.0,,,
cicero_g003_p000_ITALY,3,False,no_strict_divergent_pair,244.0,0.0,,,
cicero_g003_p025_ENGLAND,3,True,accepted,,,1.0,160.0,f5c32af2c8e396811f5b76b77093a891757b0bb4b21e52aacaa5cbdef8bf3af0
cicero_g004_p010_GERMANY,4,True,accepted,,,0.0,180.0,393f2ac196eecfa3b2f7ce3a6163db2a3e3ca6ce108858d104344e4079db06c9
cicero_g004_p003_GERMANY,4,False,no_strict_divergent_pair,2205.0,0.0,,,
cicero_g004_p000_GERMANY,4,False,no_strict_divergent_pair,236.0,0.0,,,
cicero_g004_p023_GERMANY,4,False,reconstruction_failed,,,,,
cicero_g004_p005_GERMANY,4,True,accepted,,,1.0,160.0,06a0b557b7b5cd4a5d108d88da3555386a618a21876b435dbc38797409f5ceaa
cicero_g005_p001_AUSTRIA,5,True,accepted,,,0.0,300.0,65688aeec1e32b2061e7152be43f8f6a458de115dd6ddde9c3c03ef721257515
cicero_g005_p008_AUSTRIA,5,False,no_strict_divergent_pair,1299.0,0.0,,,
cicero_g005_p015_AUSTRIA,5,True,accepted,,,1.0,220.0,5149d4fafe4e88cf98b558f3cba59b9351ad9c484fc81e61504d1d08b4315967
cicero_g006_p009_TURKEY,6,True,accepted,,,0.0,420.0,9faae1d6da017d9df32d7db9c9b50bcd1da82fffebd98430dbe71351cf9f4638
cicero_g006_p024_TURKEY,6,True,accepted,,,1.0,340.0,a82861eb49cb38c23eea660510a91cf71597b1ef1ce5b85caa6a07277b23cc47
cicero_g007_p001_FRANCE,7,True,accepted,,,0.0,240.0,6488360274dd9532205c28f40ee3fa9ca70807a7aa60f27c5252e68d864329d7
cicero_g007_p000_FRANCE,7,False,no_strict_divergent_pair,127.0,0.0,,,
cicero_g007_p001_RUSSIA,7,False,duplicate_parent_within_game,,,,,
cicero_g007_p000_RUSSIA,7,True,accepted,,,1.0,120.0,5557c4b4e33617542d8b3b1cb7b24061bb897e3064baa0f99e9823f6842c810d
cicero_g008_p005_ITALY,8,True,accepted,,,0.0,180.0,dc15e50a3bb49569be31660c89eb4a0e0ba4aae9298186344081ec251c98acc9
cicero_g008_p001_ITALY,8,True,accepted,,,1.0,240.0,bbc5d8ab183d6c1ddfcda3afc0ae8f797330589e265d9bce34f7c2143a39cad3
cicero_g009_p005_ENGLAND,9,False,no_strict_divergent_pair,4534.0,0.0,,,
cicero_g009_p005_RUSSIA,9,False,no_strict_divergent_pair,2094.0,0.0,,,
cicero_g009_p001_ENGLAND,9,True,accepted,,,0.0,140.0,c4ba3c5854eb1c8de30e5165ec57a716ae82fb11eddbd53c4f9af7f3b636fa5b
cicero_g009_p003_ENGLAND,9,True,accepted,,,1.0,180.0,091d4653dabc73d7f628339b543e29edd762032361729cee5b412d26f6301ccf
cicero_g010_p031_FRANCE,10,True,accepted,,,0.0,180.0,a2dcaaf02be03cc7f668e501e91774c1f561370f970dfa0125a697eebc3783e3
cicero_g010_p031_ITALY,10,False,duplicate_parent_within_game,,,,,
cicero_g010_p028_FRANCE,10,True,accepted,,,1.0,180.0,4821c19e5669be717b9a694e7e0747b453e95f4a97e0751333619e2add655b20
cicero_g011_p001_RUSSIA,11,True,accepted,,,0.0,200.0,7bafb7835d90100db1e87d25a7c1d5976b6dcef4742d62eb99939188dabd25ee
cicero_g011_p005_RUSSIA,11,False,no_strict_divergent_pair,1192.0,0.0,,,
cicero_g011_p003_RUSSIA,11,True,accepted,,,1.0,120.0,45fb9ebe521b9cc32d3be38b407c9fe7098449d1f4f0bd0561a173786a3974ed
cicero_g012_p005_RUSSIA,12,True,accepted,,,0.0,380.0,3489986c92b708a9727e7b192118c706e6c5511a1595bd92fbe71167cfb85f1d
cicero_g012_p010_RUSSIA,12,False,no_strict_divergent_pair,9817.0,0.0,,,
cicero_g012_p001_RUSSIA,12,True,accepted,,,1.0,180.0,a856dd4c74cc32edc0d8ab75523726bf884bffcda7634197f0941604050f2736
cicero_g013_p005_RUSSIA,13,False,no_strict_divergent_pair,735.0,0.0,,,
cicero_g013_p000_RUSSIA,13,True,accepted,,,0.0,140.0,d3b2d13ff0742f7e38f18619a75dcb961cb1501854490a8d62fcf3bcff876cc8
cicero_g013_p001_RUSSIA,13,True,accepted,,,1.0,260.0,f6cf1fd8b8c68f54818c3542f1c0cd6ad31d187855dddbe6f4ce0f696b27d6f2
cicero_g014_p000_RUSSIA,14,True,accepted,,,0.0,140.0,a9523c6c7eef884fc322ef39a050a48c478529a90d529c76d0d22464bf9ab4b9
cicero_g014_p001_RUSSIA,14,True,accepted,,,1.0,200.0,42a4db73cfd8be655e94daf0be62dcd0c9fb8d8fdc0a39b5faf5bbeb83be4af1
cicero_g015_p003_ENGLAND,15,False,no_strict_divergent_pair,1220.0,0.0,,,
cicero_g015_p003_GERMANY,15,False,no_strict_divergent_pair,822.0,0.0,,,
cicero_g015_p001_ENGLAND,15,True,accepted,,,0.0,180.0,5af21173c846173bbc082757a596fb2dbd4a788f75808f98776bec4a97de6235
cicero_g015_p001_GERMANY,15,False,duplicate_parent_within_game,,,,,
cicero_g015_p000_ENGLAND,15,False,no_strict_divergent_pair,102.0,0.0,,,
cicero_g015_p005_ENGLAND,15,True,accepted,,,1.0,160.0,1c197342b1fbbb51f35acbba04f24aad7b91102847bb0102d2b7c94288e59b78
cicero_g016_p004_ITALY,16,True,accepted,,,0.0,180.0,c35ac8f43b6ae482ccd6ec116383123d9e53bc904797f90d1d873f34995631f6
cicero_g016_p031_ITALY,16,False,reconstruction_failed,,,,,
cicero_g016_p003_ITALY,16,False,no_strict_divergent_pair,795.0,0.0,,,
cicero_g016_p001_ITALY,16,True,accepted,,,1.0,160.0,3303403d70fafd9f7b67ebb73f3714466cd8ec911dd683742133cf53ecf0bf9b
cicero_g017_p001_FRANCE,17,True,accepted,,,0.0,240.0,304650ff7c71d3b165f115488e45b7e580b625e90413e8781fe05e11fedd990a
cicero_g017_p005_FRANCE,17,True,accepted,,,1.0,200.0,924d111eb8600f749cff46d992d2b536f82874799dcb62ebe5d81f0ce0de7dd2
cicero_g018_p000_ENGLAND,18,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g018_p000_TURKEY,18,False,no_strict_divergent_pair,106.0,0.0,,,
cicero_g018_p001_ENGLAND,18,True,accepted,,,0.0,120.0,dc94714ab76745d0040a8c04cbd9875f7671b5d2ea26349df94d73ad4e8c97a0
cicero_g018_p001_TURKEY,18,False,duplicate_parent_within_game,,,,,
cicero_g019_p014_ITALY,19,False,no_strict_divergent_pair,2078.0,0.0,,,
cicero_g019_p014_RUSSIA,19,False,no_strict_divergent_pair,1695.0,0.0,,,
cicero_g019_p026_ITALY,19,False,reconstruction_failed,,,,,
cicero_g019_p026_RUSSIA,19,False,reconstruction_failed,,,,,
cicero_g019_p007_ITALY,19,False,no_strict_divergent_pair,4303.0,0.0,,,
cicero_g019_p007_RUSSIA,19,True,accepted,,,0.0,120.0,5533595e7ebfbfd4e82df4384c9cf80bbf1a3d677bdb6dc9e039aa9b569ec1c8
cicero_g019_p009_ITALY,19,True,accepted,,,1.0,200.0,652268ed5d0fc3cc92b2a5e7c657ee8f4b78ea941f767bfc0547f529e8160636
cicero_g020_p013_ITALY,20,False,reconstruction_failed,,,,,
cicero_g020_p013_TURKEY,20,False,reconstruction_failed,,,,,
cicero_g020_p001_ITALY,20,True,accepted,,,0.0,200.0,320999a0585b631316366947453d9d4cdf0d8bacdb5c99444946ebedba7cf7d7
cicero_g020_p001_TURKEY,20,False,duplicate_parent_within_game,,,,,
cicero_g020_p010_ITALY,20,False,reconstruction_failed,,,,,
cicero_g020_p010_TURKEY,20,False,reconstruction_failed,,,,,
cicero_g020_p015_ITALY,20,False,reconstruction_failed,,,,,
cicero_g020_p015_TURKEY,20,False,reconstruction_failed,,,,,
cicero_g020_p008_ITALY,20,False,reconstruction_failed,,,,,
cicero_g020_p008_TURKEY,20,False,reconstruction_failed,,,,,
cicero_g020_p000_ITALY,20,False,no_strict_divergent_pair,244.0,0.0,,,
cicero_g020_p000_TURKEY,20,False,no_strict_divergent_pair,104.0,0.0,,,
cicero_g020_p004_ITALY,20,False,no_strict_divergent_pair,388.0,0.0,,,
cicero_g020_p004_TURKEY,20,False,no_strict_divergent_pair,140.0,0.0,,,
cicero_g020_p005_ITALY,20,True,accepted,,,1.0,140.0,88d824fecb79e496e8eb7e3f37cd728ca9fe065650aadcf57f71e30efd4c5caf
cicero_g021_p000_FRANCE,21,False,no_strict_divergent_pair,128.0,0.0,,,
cicero_g021_p003_FRANCE,21,True,accepted,,,0.0,120.0,308f8b3c67c3a6b30a56005619eb582d6439405aa1102b52508ab6b1979fa542
cicero_g021_p005_FRANCE,21,True,accepted,,,1.0,140.0,1f474198209ce889fb5dfa93d5eeb48f3b781e2ea38f6c70505b0be4004d3019
