game_index,states,delta_latent
0,2,0.2057769766494824
1,2,0.2434960885770793
2,2,0.009694631728190628
3,2,-0.0005446168725040668
4,2,0.09178107399670846
5,2,0.08380632605371491
6,2,-0.1978235387008
7,2,0.32427190680334994
8,2,-0.1932740391351519
9,2,-0.4092833731380889
10,2,-0.032922257041917945
11,2,0.07499180453265368
12,2,0.024548181768140498
13,1,-0.05298704269492786
14,2,-0.10019572268507868
15,2,-0.15578130676730473
16,2,0.14607154775484787
17,2,0.25325535196967336
18,1,-0.4029955539016541
19,2,0.021995137267003195
20,2,0.12575436499007284
21,2,-0.10184473116650454
22,2,0.0459265712819142
23,2,0.056636790572227265
24,2,-0.34325791289851293
25,1,-0.005953455193959414
26,2,-0.340894679408328
27,2,0.5136768791905301
28,2,-0.029193286887533795
29,2,-0.036748267780167695
30,1,-0.7690173117711744
31,2,0.0617711224733227
32,2,-0.2794296427145612
33,2,-0.4157585677767452
34,2,0.41227862237289176
35,2,0.04100699947544674
36,2,-0.17702270031803297
37,2,-0.3962903077915535
38,2,0.23747786286584727
39,2,-0.348634765652352
