family_id,spearman_bonus_vs_claim_position,low_bonus_claim_position,high_bonus_claim_position,endpoint_shift_high_minus_low,endpoint_expected_direction,constant_endpoint,unique_claim_positions
scale10_actions4,,1.0,1.0,0.0,False,True,1
scale10_actions5,,0.75,0.75,0.0,False,True,1
scale10_actions6,,1.0,1.0,0.0,False,True,1
scale10_actions7,,1.0,1.0,0.0,False,True,1
scale1_actions4,,1.0,1.0,0.0,False,True,1
scale1_actions5,,0.75,0.75,0.0,False,True,1
scale1_actions6,-0.7071067811865475,1.0,0.6,-0.4,True,False,2
scale1_actions7,,0.8333333333333334,0.8333333333333334,0.0,False,True,1
scale2_actions4,,1.0,1.0,0.0,False,True,1
scale2_actions5,,0.75,0.75,0.0,False,True,1
scale2_actions6,-0.6324555320336759,1.0,0.8,-0.19999999999999996,True,False,3
scale2_actions7,0.0,1.0,1.0,0.0,False,True,2
scale3_actions4,0.5773502691896257,0.6666666666666666,1.0,0.33333333333333337,False,False,2
scale3_actions5,,0.75,0.75,0.0,False,True,1
scale3_actions6,-0.7071067811865475,1.0,0.6,-0.4,True,False,2
scale3_actions7,,1.0,1.0,0.0,False,True,1
scale5_actions4,0.0,1.0,1.0,0.0,False,True,2
scale5_actions5,,0.75,0.75,0.0,False,True,1
scale5_actions6,,0.6,0.6,0.0,False,True,1
scale5_actions7,,1.0,1.0,0.0,False,True,1
