family_id,fold,spearman_beta_vs_position,low_beta_action,high_beta_action,low_beta_position,high_beta_position,endpoint_shift_high_minus_low,target_at_low_beta,target_at_high_beta,unique_positions
scale10_actions4,0,-0.8660254037844386,A3,A0,1.0,0.0,-1.0,False,True,2
scale10_actions5,2,-0.9486832980505138,A3,A0,0.75,0.0,-0.75,False,True,3
scale10_actions6,4,,A0,A0,0.0,0.0,0.0,True,True,1
scale10_actions7,1,0.0,A0,A0,0.0,0.0,0.0,True,True,2
scale1_actions4,2,-0.35355339059327373,A0,A0,0.0,0.0,0.0,True,True,2
scale1_actions5,0,-0.8660254037844386,A1,A0,0.25,0.0,-0.25,False,True,2
scale1_actions6,4,-0.28867513459481287,A0,A0,0.0,0.0,0.0,True,True,2
scale1_actions7,3,-0.28867513459481287,A0,A0,0.0,0.0,0.0,True,True,2
scale2_actions4,0,-0.8660254037844386,A3,A0,1.0,0.0,-1.0,False,True,2
scale2_actions5,4,-0.7905694150420948,A1,A0,0.25,0.0,-0.25,False,True,3
scale2_actions6,3,,A0,A0,0.0,0.0,0.0,True,True,1
scale2_actions7,4,0.0,A0,A0,0.0,0.0,0.0,True,True,2
scale3_actions4,1,,A0,A0,0.0,0.0,0.0,True,True,1
scale3_actions5,2,-0.8660254037844386,A1,A0,0.25,0.0,-0.25,False,True,2
scale3_actions6,0,,A0,A0,0.0,0.0,0.0,True,True,1
scale3_actions7,2,,A0,A0,0.0,0.0,0.0,True,True,1
scale5_actions4,1,-0.8660254037844386,A3,A0,1.0,0.0,-1.0,False,True,2
scale5_actions5,3,-0.7905694150420948,A1,A0,0.25,0.0,-0.25,False,True,3
scale5_actions6,3,,A0,A0,0.0,0.0,0.0,True,True,1
scale5_actions7,1,0.0,A0,A0,0.0,0.0,0.0,True,True,2
