state_id,trajectory_id,candidate_count,unique_legal_scores,score_min,score_max,threshold
ld_000_trajectory_000_department_of_tourism,trajectory_000,18,96,0.0,100.0,65.0
ld_001_trajectory_000_environmental_league,trajectory_000,9,9,0.0,100.0,55.0
ld_002_trajectory_000_local_labour_union,trajectory_000,18,92,0.0,100.0,50.0
ld_003_trajectory_000_mayor,trajectory_000,17,89,0.0,100.0,30.0
ld_004_trajectory_000_other_cities,trajectory_000,19,88,0.0,100.0,31.0
ld_005_trajectory_000_sportco,trajectory_000,17,90,0.0,100.0,55.0
ld_006_trajectory_001_department_of_tourism,trajectory_001,18,96,0.0,100.0,65.0
ld_007_trajectory_001_environmental_league,trajectory_001,9,9,0.0,100.0,55.0
ld_008_trajectory_001_local_labour_union,trajectory_001,18,92,0.0,100.0,50.0
ld_009_trajectory_001_mayor,trajectory_001,17,89,0.0,100.0,30.0
ld_010_trajectory_001_other_cities,trajectory_001,19,88,0.0,100.0,31.0
ld_011_trajectory_001_sportco,trajectory_001,17,90,0.0,100.0,55.0
ld_012_trajectory_002_department_of_tourism,trajectory_002,18,96,0.0,100.0,65.0
ld_013_trajectory_002_environmental_league,trajectory_002,9,9,0.0,100.0,55.0
ld_014_trajectory_002_local_labour_union,trajectory_002,18,92,0.0,100.0,50.0
ld_015_trajectory_002_mayor,trajectory_002,17,89,0.0,100.0,30.0
ld_016_trajectory_002_other_cities,trajectory_002,19,88,0.0,100.0,31.0
ld_017_trajectory_002_sportco,trajectory_002,17,90,0.0,100.0,55.0
ld_018_trajectory_003_department_of_tourism,trajectory_003,18,96,0.0,100.0,65.0
ld_019_trajectory_003_environmental_league,trajectory_003,9,9,0.0,100.0,55.0
ld_020_trajectory_003_local_labour_union,trajectory_003,18,92,0.0,100.0,50.0
ld_021_trajectory_003_mayor,trajectory_003,17,89,0.0,100.0,30.0
ld_022_trajectory_003_other_cities,trajectory_003,19,88,0.0,100.0,31.0
ld_023_trajectory_003_sportco,trajectory_003,17,90,0.0,100.0,55.0
ld_024_trajectory_004_department_of_tourism,trajectory_004,18,96,0.0,100.0,65.0
ld_025_trajectory_004_environmental_league,trajectory_004,9,9,0.0,100.0,55.0
ld_026_trajectory_004_local_labour_union,trajectory_004,18,92,0.0,100.0,50.0
ld_027_trajectory_004_mayor,trajectory_004,17,89,0.0,100.0,30.0
ld_028_trajectory_004_other_cities,trajectory_004,19,88,0.0,100.0,31.0
ld_029_trajectory_004_sportco,trajectory_004,17,90,0.0,100.0,55.0
