state_id,game_index,qwen_choice,qwen_y_B,qwen_p_activation,qwen_p_strong_text,second_choice,second_y_B,second_p_activation,second_p_strong_text,behavior_agree
cicero_g000_p014_ENGLAND,0,A,0,0.9719486921866456,0.6505786819204474,A,0,0.3099935928266397,0.30507319649132125,True
cicero_g001_p003_ITALY,1,B,1,0.3856433038132756,0.6504849572595024,A,0,0.22902153504338113,0.27308867526240665,False
cicero_g002_p003_RUSSIA,2,A,0,0.8402164080043553,0.5799788974703673,A,0,0.2415442525479786,0.1833305867182742,True
cicero_g003_p001_ENGLAND,3,B,1,0.4407455839596325,0.6095534967561523,A,0,0.1628486757989165,0.34213542555162646,False
cicero_g004_p010_GERMANY,4,B,1,0.2361997078631362,0.5829944898776921,A,0,0.1009777762452333,0.31005187439620063,False
cicero_g005_p001_AUSTRIA,5,A,0,0.018750218223203,0.6154972567972857,A,0,0.19607493635973,0.34553188625158837,True
cicero_g006_p009_TURKEY,6,A,0,0.163649028165764,0.6059431665387895,A,0,0.7569715480271313,0.3025795299378324,True
cicero_g007_p001_FRANCE,7,B,1,0.5540246577099783,0.5841735008039145,B,1,0.7141440871900244,0.17133298464250193,True
cicero_g008_p005_ITALY,8,B,1,0.5898624677119932,0.5671417099525867,A,0,0.448894881559199,0.29990422029567815,False
cicero_g009_p001_ENGLAND,9,B,1,0.9267310266033733,0.5904454494345144,B,1,0.21050920646215232,0.3289064772510705,True
cicero_g010_p031_FRANCE,10,A,0,0.8980247185566057,0.6760336584785489,A,0,0.5019383679522544,0.3151057791627761,True
cicero_g011_p001_RUSSIA,11,B,1,0.7036452927797495,0.5833395282532079,A,0,0.26978595110407083,0.33830433705546,False
cicero_g012_p005_RUSSIA,12,B,1,0.0238408030534237,0.5721302528275141,B,1,0.03079115105236313,0.11189515435825428,True
cicero_g014_p000_RUSSIA,14,A,0,0.5724767500437766,0.5771373457477826,B,1,0.11681510830664633,0.2753082373894412,False
